# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
4.7380115; -0.1830909; 0.3017036; 0.6115930; -0.0979720; -0.9951892; -0.0008555; 28.1590545; -1.6667890; -0.0612986; 7.0016409; -7.0754205
4.9366515; -0.2036915; 0.3031093; 0.6100389; -0.1075000; -0.9942051; -0.0012188; 28.3587707; -1.6768043; -0.0390160; 6.7968531; -8.2846267
5.1351412; -0.2256930; 0.3049283; 0.6082318; -0.1120011; -0.9937081; -0.0014477; 28.5584825; -1.6823804; -0.0168335; 6.5489328; -9.3707402
5.3335875; -0.2480909; 0.3060734; 0.6087610; -0.1114675; -0.9937681; -0.0014168; 28.7581880; -1.6835325; 0.0052949; 6.2566812; -9.1151419
5.5321014; -0.2698771; 0.3041929; 0.6130987; -0.1058654; -0.9943805; -0.0009932; 28.9578877; -1.6802924; 0.0271524; 5.9586642; -8.4598148
5.7307840; -0.2900426; 0.3000000; 0.6191948; -0.0952755; -0.9954509; -0.0000442; 29.1575887; -1.6725735; 0.0501713; 5.6680703; -7.6077717
5.9297124; -0.3076273; 0.3014063; 0.6199641; -0.0801217; -0.9967851; 0.0014063; 29.3573105; -1.6591466; 0.0844701; 5.3933894; -6.6074221
6.1289282; -0.3216213; 0.3180539; 0.6072336; -0.0586091; -0.9982810; 0.0029904; 29.5570758; -1.6376999; 0.1304956; 5.1429364; -5.7145378
6.3284378; -0.3304371; 0.3483977; 0.5831189; -0.0280827; -0.9996056; 0.0045061; 29.7569096; -1.6067471; 0.1795539; 4.9160491; -4.9650669
6.5281277; -0.3322042; 0.3839819; 0.5547014; 0.0119670; -0.9999284; 0.0058704; 29.9568348; -1.5659393; 0.2291870; 4.7100534; -4.3337174
6.7276884; -0.3250272; 0.4217455; 0.5242781; 0.0614800; -0.9981083; 0.0069910; 30.1568687; -1.5151816; 0.2792590; 4.5225894; -3.7847116
6.9265554; -0.3070254; 0.4618430; 0.4917526; 0.1203448; -0.9927322; 0.0077582; 30.3570179; -1.4543333; 0.3303479; 4.3522738; -3.2928589
7.1238534; -0.2763506; 0.5039601; 0.4575021; 0.1883549; -0.9821010; 0.0080414; 30.5572731; -1.3831675; 0.3827305; 4.1984752; -2.8413850
7.3183351; -0.2312010; 0.5471942; 0.4224931; 0.2652694; -0.9641743; 0.0077142; 30.7576052; -1.3014416; 0.4362860; 4.0610847; -2.3947833
7.5083049; -0.1698299; 0.5900158; 0.3883095; 0.3507342; -0.9364750; 0.0067146; 30.9579641; -1.2088552; 0.4917534; 3.9415717; -1.9085311
7.6915157; -0.0905912; 0.6355620; 0.3564549; 0.4440942; -0.8959801; 0.0050869; 31.1582723; -1.1049590; 0.5499226; 3.8436653; -1.1494348
7.8650686; 0.0079330; 0.7317434; 0.3244624; 0.5435093; -0.8394031; 0.0029183; 31.3584226; -0.9882634; 0.6205157; 3.7834779; -0.0978034
8.0254595; 0.1266476; 0.8799834; 0.3000000; 0.6456805; -0.7636077; 0.0000000; 31.5583158; -0.8570635; 0.6958735; 3.7783124; -0.0318180
8.1686165; 0.2656501; 0.8736803; 0.3035873; 0.7455276; -0.6664748; -0.0035873; 31.7577937; -0.7175315; 0.7011179; 3.7766304; -0.0318180
8.2908257; 0.4234241; 0.7010819; 0.3344373; 0.8305224; -0.5569853; -0.0063510; 31.9568395; -0.5846485; 0.6278156; 3.7749477; 1.0216937
8.3913042; 0.5958876; 0.5509566; 0.3750499; 0.8927645; -0.4505235; -0.0076455; 32.1556925; -0.4674433; 0.5464248; 3.8286122; 1.9576568
