
# 2025-04-30 02:42:28
# d41d8cd98f00b204e9800998ecf8427e
# s_m;  x_m;  y_m;  psi_rad;  kappa_radpm;  vx_mps;  ax_mps2;  w_tr_right_m;  w_tr_left_m
24.761480; 1.351702; -0.236038; -1.702255; 0.317094; 4.459337; 3.650004; 0.437221; 0.514712
24.961162; 1.550274; -0.257060; -1.643382; 0.272699; 4.619894; 4.132063; 0.408149; 0.537573
25.160850; 1.749698; -0.267335; -1.593292; 0.229056; 4.795172; 4.681859; 0.382504; 0.557020
25.360543; 1.949388; -0.268458; -1.551811; 0.186431; 4.986331; 5.244534; 0.360063; 0.573222
25.560241; 2.148983; -0.262049; -1.518859; 0.143616; 5.192114; 5.239862; 0.340497; 0.586463
25.759944; 2.348304; -0.249715; -1.494474; 0.100608; 5.389873; 5.235193; 0.323428; 0.597085
25.959647; 2.547311; -0.233050; -1.478676; 0.057616; 5.580461; 5.230529; 0.308931; 0.605218
26.159352; 2.746072; -0.213657; -1.471181; 0.017499; 5.764590; 5.225869; 0.305079; 0.608189
26.359058; 2.944730; -0.193219; -1.471521; -0.020875; 5.942861; 5.221213; 0.304432; 0.610160
26.558764; 3.143458; -0.173479; -1.479585; -0.059910; 6.115785; 5.216561; 0.301818; 0.612766
26.758467; 3.342409; -0.156174; -1.495432; -0.098804; 6.283805; 5.211914; 0.300374; 0.614044
26.958163; 3.541674; -0.143043; -1.518741; -0.134613; 6.447304; 4.311726; 0.300000; 0.614251
27.157856; 3.741229; -0.135635; -1.548858; -0.167000; 6.579493; 2.674045; 0.300000; 0.614085
27.357550; 3.940921; -0.134605; -1.581082; -0.155154; 6.660156; 3.018786; 0.300000; 0.613921
27.557250; 4.140555; -0.139683; -1.609605; -0.130350; 6.750061; 3.959183; 0.300013; 0.613747
27.756952; 4.339986; -0.150095; -1.633270; -0.106702; 6.866187; 4.864394; 0.300213; 0.613389
27.956654; 4.539139; -0.164893; -1.652296; -0.083867; 7.006230; -0.160948; 0.300752; 0.612695
28.156357; 4.738011; -0.183091; -1.666789; -0.061299; 7.001641; -7.075420; 0.301704; 0.611593
28.356063; 4.936651; -0.203691; -1.676804; -0.039016; 6.796853; -8.284627; 0.303109; 0.610039
28.555768; 5.135141; -0.225693; -1.682380; -0.016834; 6.548933; -9.370740; 0.304928; 0.608232
28.755474; 5.333588; -0.248091; -1.683533; 0.005295; 6.256681; -9.115142; 0.306073; 0.608761
28.955180; 5.532101; -0.269877; -1.680292; 0.027152; 5.958664; -8.459815; 0.304193; 0.613099
29.154883; 5.730784; -0.290043; -1.672573; 0.050171; 5.668070; -7.607772; 0.300000; 0.619195
29.354588; 5.929712; -0.307627; -1.659147; 0.084470; 5.393389; -6.607422; 0.301406; 0.619964
29.554294; 6.128928; -0.321621; -1.637700; 0.130496; 5.142936; -5.714538; 0.318054; 0.607234
29.753999; 6.328438; -0.330437; -1.606747; 0.179554; 4.916049; -4.965067; 0.348398; 0.583119
29.953696; 6.528128; -0.332204; -1.565939; 0.229187; 4.710053; -4.333717; 0.383982; 0.554701
30.153386; 6.727688; -0.325027; -1.515182; 0.279259; 4.522589; -3.784712; 0.421745; 0.524278
30.353066; 6.926555; -0.307025; -1.454333; 0.330348; 4.352274; -3.292859; 0.461843; 0.491753
30.552734; 7.123853; -0.276351; -1.383168; 0.382730; 4.198475; -2.841385; 0.503960; 0.457502
30.752388; 7.318335; -0.231201; -1.301442; 0.436286; 4.061085; -2.394783; 0.547194; 0.422493
30.952025; 7.508305; -0.169830; -1.208855; 0.491753; 3.941572; -1.908531; 0.590016; 0.388309
31.151637; 7.691516; -0.090591; -1.104959; 0.549923; 3.843665; -1.149435; 0.635562; 0.356455
31.351206; 7.865069; 0.007933; -0.988263; 0.620516; 3.783478; -0.097803; 0.731743; 0.324462
31.550751; 8.025460; 0.126648; -0.857063; 0.695874; 3.778312; -0.031818; 0.879983; 0.300000
31.750290; 8.168617; 0.265650; -0.717531; 0.701118; 3.776630; -0.031818; 0.873680; 0.303587
31.949859; 8.290826; 0.423424; -0.584649; 0.627816; 3.774948; 1.021694; 0.701082; 0.334437
32.149457; 8.391304; 0.595888; -0.467443; 0.546425; 3.828612; 1.957657; 0.550957; 0.375050
32.349083; 8.471413; 0.778735; -0.366020; 0.470099; 3.929391; 2.707175; 0.476497; 0.418150
32.548729; 8.533259; 0.968560; -0.279353; 0.398446; 4.064640; 3.380297; 0.433871; 0.461248
32.748392; 8.579297; 1.162843; -0.206656; 0.330051; 4.227448; 4.061686; 0.395151; 0.501257
32.948070; 8.612209; 1.359790; -0.147342; 0.264285; 4.415140; 4.804691; 0.360008; 0.537652
33.147762; 8.634820; 1.558197; -0.100979; 0.200243; 4.627347; 5.252233; 0.328710; 0.569933
33.347462; 8.650049; 1.757315; -0.067364; 0.136498; 4.848708; 5.247554; 0.307273; 0.589458
33.547160; 8.660741; 1.956728; -0.047468; 0.062597; 5.060209; 5.242878; 0.300000; 0.593542
33.746858; 8.669226; 2.156245; -0.040631; 0.006196; 5.263041; 5.238207; 0.300098; 0.593710
33.946562; 8.677050; 2.355796; -0.040115; -0.000120; 5.458171; 5.233540; 0.301366; 0.594229
